Motor,Nosecone shape,Launch lug quantity,Surface finish [um],Fin cross section,Fin holder quantity,Fin thickness [mm],Outer diameter [mm],Boat tail,Dry mass [g],Wet mass [g],Apogee [m],Maximum speed [m/s],Mach number [-],Notes
J500,Haack 0,2,60,Rounded,2,5,38,No,800,1454,1837,402,1.182352941,
J500,Haack 0,2,60,Rounded,2,5,38,No,900,1554,1872,386,1.135294118,
J500,Haack 0,2,60,Rounded,2,5,40,No,500,1154,1648,446,1.311764706,
J500,Haack 0,2,60,Rounded,2,5,40,No,600,1254,1709,430,1.264705882,
J500,Haack 0,2,60,Rounded,2,5,40,No,700,1354,1761,415,1.220588235,
J500,Haack 0,2,60,Rounded,2,5,40,No,800,1454,1805,400,1.176470588,
J500,Haack 0,2,60,Rounded,2,5,40,No,900,1554,1842,385,1.132352941,
J500,Haack 0,2,60,Rounded,2,5,41.9,No,500,1154,1620,443,1.302941176,
J500,Haack 0,2,60,Rounded,2,5,41.9,No,600,1254,1680,428,1.258823529,
J500,Haack 0,2,60,Rounded,2,5,41.9,No,700,1354,1732,413,1.214705882,
J500,Haack 0,2,60,Rounded,2,5,41.9,No,800,1454,1775,398,1.170588235,
J500,Haack 0,2,60,Rounded,2,5,41.9,No,900,1554,1812,383,1.126470588,
J500,Haack 0,2,60,Rounded,2,5,44,No,500,1154,1589,439,1.291176471,
J500,Haack 0,2,60,Rounded,2,5,44,No,600,1254,1648,424,1.247058824,
J500,Haack 0,2,60,Rounded,2,5,44,No,700,1354,1699,409,1.202941176,
J500,Haack 0,2,60,Rounded,2,5,44,No,800,1454,1743,395,1.161764706,
J500,Haack 0,2,60,Rounded,2,5,44,No,900,1554,1779,381,1.120588235,
J500,Haack 0,2,60,Rounded,2,5,46,No,500,1154,1559,435,1.279411765,
J500,Haack 0,2,60,Rounded,2,5,46,No,600,1254,1618,421,1.238235294,
J500,Haack 0,2,60,Rounded,2,5,46,No,700,1354,1666,405,1.191176471,
J500,Haack 0,2,60,Rounded,2,5,46,No,800,1454,1711,392,1.152941176,
J500,Haack 0,2,60,Rounded,2,5,46,No,900,1554,1748,379,1.114705882,
