timestamp (us),measLate,skippedBeat,drNoTrigger,checksumError,measInvalid,Load (N)
142465468,1,1,0,0,1,8027.64990234375
142867059,1,1,0,0,1,7973.89306640625
143268658,1,1,0,0,1,8002.5634765625
143670247,1,1,0,0,1,7916.552734375
144071855,1,1,0,0,1,8475.62109375
144473480,1,1,0,0,1,8138.74658203125
144875045,1,1,0,0,1,7902.2177734375
145276605,1,1,0,0,1,8192.5029296875
145678231,1,1,0,0,1,7783.953125
146079795,1,1,0,0,1,7568.9267578125
146481387,1,1,0,0,1,7751.69921875
146882994,1,1,0,0,1,8038.40087890625
147284545,1,1,0,0,1,7758.86669921875
147686178,1,1,0,0,1,8095.7412109375
148087772,1,1,0,0,1,7837.7099609375
148489368,1,1,0,0,1,7554.591796875
148890965,1,1,0,0,1,8532.9619140625
149292563,1,1,0,0,1,7848.4609375
149694177,1,1,0,0,1,7482.91650390625
150095776,1,1,0,0,1,7586.845703125
150497368,1,1,0,0,1,7877.13134765625
150898974,1,1,0,0,1,8192.5029296875
151300552,1,1,0,0,1,7748.115234375
151702146,1,1,0,0,1,7934.4716796875
152103750,1,1,0,0,1,7321.646484375
152505309,1,1,0,0,1,7654.9375
152906934,1,1,0,0,1,8020.48193359375
153308532,1,1,0,0,1,7626.26708984375
153710136,1,1,0,0,1,8016.8984375
154111732,1,1,0,0,1,8056.31982421875
154513352,1,1,0,0,1,7368.23583984375
154914947,1,1,0,0,1,7984.64453125
155316505,1,1,0,0,1,7902.2177734375
155718103,1,1,0,0,1,8246.259765625
156119703,1,1,0,0,1,7561.75927734375
156521309,1,1,0,0,1,8171.00048828125
156922903,1,1,0,0,1,8163.8330078125
157324503,1,1,0,0,1,8153.08154296875
157726101,1,1,0,0,1,7665.6884765625
158127720,1,1,0,0,1,7916.552734375
158529280,1,1,0,0,1,7454.24609375
158930880,1,1,0,0,1,7468.5810546875
159332441,1,1,0,0,1,7615.51611328125
159734011,1,1,0,0,1,7515.17041015625
160135592,1,1,0,0,1,7597.59716796875
160537195,1,1,0,0,1,8185.33544921875
160938794,1,1,0,0,1,8167.4169921875
161340370,1,1,0,0,1,7755.283203125
161741970,1,1,0,0,1,8192.5029296875
162143568,1,1,0,0,1,7973.89306640625
162545165,1,1,0,0,1,7769.6181640625
162946772,1,1,0,0,1,8145.9140625
163348371,1,1,0,0,1,8181.751953125
163749968,1,1,0,0,1,8163.8330078125
164151572,1,1,0,0,1,7923.72021484375
