timestamp (us),measLate,skippedBeat,drNoTrigger,checksumError,measInvalid,pressure (PSI)
70178878,0,0,0,0,1,-46.73667907714844
70580463,0,0,0,0,1,-48.77708053588867
70982062,0,0,0,0,1,-50.7402458190918
71383646,0,0,0,0,1,-47.91367721557617
71785198,0,0,0,0,1,-48.031394958496094
72186826,0,0,0,0,1,-42.69892883300781
72588416,0,0,0,0,1,-37.02313232421875
72990011,0,0,0,0,1,-42.03298568725586
73391596,0,0,0,0,1,-51.6829948425293
73793187,0,0,0,0,1,-51.2508659362793
74194774,0,0,0,0,1,-46.815128326416016
74596364,0,0,0,0,1,-49.09110641479492
74997958,0,0,0,0,1,-50.072628021240234
75399540,0,0,0,0,1,-47.95291519165039
75801146,0,0,0,0,1,-52.3116569519043
76202726,0,0,0,0,1,-49.01259994506836
76604315,0,0,0,0,1,-47.48175811767578
77005906,0,0,0,0,1,-53.17626190185547
77407490,0,0,0,0,1,-47.56053161621094
77809039,0,0,0,0,1,-44.50157928466797
78210618,0,0,0,0,1,-59.62919998168945
78612167,0,0,0,0,1,-44.344783782958984
79013772,0,0,0,0,1,-54.59159851074219
79415352,0,0,0,0,1,-56.637123107910156
79816944,0,0,0,0,1,-48.659332275390625
80218515,0,0,0,0,1,-44.65837478637695
80620103,0,0,0,0,1,-49.719242095947266
81021699,0,0,0,0,1,-51.17230224609375
81423231,0,0,0,0,1,-41.05390167236328
81824832,0,0,0,0,1,-53.88385772705078
82226412,0,0,0,0,1,-49.75851058959961
82628025,0,0,0,0,1,-43.482566833496094
83029616,0,0,0,0,1,-53.53004455566406
83431205,0,0,0,0,1,-51.99730682373047
83832784,0,0,0,0,1,-58.487144470214844
84234365,0,0,0,0,1,-39.84024429321289
84635919,0,0,0,0,1,-46.187564849853516
85037492,0,0,0,0,1,-48.3453483581543
85439043,0,0,0,0,1,-53.01905059814453
85840625,0,0,0,0,1,-40.15340805053711
86242232,0,0,0,0,1,-39.957679748535156
86643785,0,0,0,0,1,-47.75672149658203
87045337,0,0,0,0,1,-40.30999755859375
87446930,0,0,0,0,1,-47.482059478759766
87848521,0,0,0,0,1,-42.85564422607422
88250068,0,0,0,0,1,-54.70957946777344
88651654,0,0,0,0,1,-48.22761535644531
89053240,0,0,0,0,1,-39.409698486328125
89454852,0,0,0,0,1,-40.740657806396484
89856436,0,0,0,0,1,-56.63682174682617
90258027,0,0,0,0,1,-46.9720458984375
90659608,0,0,0,0,1,-40.701507568359375
91061188,0,0,0,0,1,-54.041114807128906
91462736,0,0,0,0,1,-53.72659683227539
91864314,0,0,0,0,1,-42.69892883300781
92265863,0,0,0,0,1,-47.91367721557617
92667449,0,0,0,0,1,-44.8543815612793
93069057,0,0,0,0,1,-45.40327453613281
93470654,0,0,0,0,1,-51.44728469848633
93872243,0,0,0,0,1,-44.57997131347656
94273835,0,0,0,0,1,-45.95225524902344
94675414,0,0,0,0,1,-38.74441909790039
95076998,0,0,0,0,1,-50.11189651489258
95478583,0,0,0,0,1,-47.20742416381836
95880173,0,0,0,0,1,-51.6829948425293
96281784,0,0,0,0,1,-45.87382507324219
96683393,0,0,0,0,1,-55.14218521118164
97084978,0,0,0,0,1,-39.957679748535156
97486574,0,0,0,0,1,-49.954830169677734
97888163,0,0,0,0,1,-51.13302230834961
98289755,0,0,0,0,1,-53.372802734375
98691340,0,0,0,0,1,-46.540557861328125
99092924,0,0,0,0,1,-54.1590690612793
99494510,0,0,0,0,1,-43.168785095214844
99896105,0,0,0,0,1,-50.77952194213867
100297702,0,0,0,0,1,-41.91548156738281
100699294,0,0,0,0,1,-49.32664489746094
101100894,0,0,0,0,1,-53.76591491699219
101502451,0,0,0,0,1,-48.4238395690918
101904053,0,0,0,0,1,-51.13302230834961
102305652,0,0,0,0,1,-53.17626190185547
102707253,0,0,0,0,1,-46.422882080078125
103108867,0,0,0,0,1,-42.85564422607422
103510464,0,0,0,0,1,-53.64797592163086
103912051,0,0,0,0,1,-52.233070373535156
104313652,0,0,0,0,1,-41.99382019042969
104715250,0,0,0,0,1,-50.62242126464844
105116844,0,0,0,0,1,-47.67823791503906
105518402,0,0,0,0,1,-50.033363342285156
105919998,0,0,0,0,1,-41.91548156738281
106723204,0,0,0,0,1,-226.862060546875
107124800,0,0,0,0,1,-203.4178466796875
107526395,0,0,0,0,1,-200.0428009033203
107927996,0,0,0,0,1,-193.8137664794922
108329593,0,0,0,0,1,-202.7423858642578
108731182,0,0,0,0,1,-144.30587768554688
109132775,0,0,0,0,1,-235.4283447265625
109534376,0,0,0,0,1,-184.25457763671875
109935996,0,0,0,0,1,-163.6083984375
110337591,0,0,0,0,1,-156.9903564453125
110739180,0,0,0,0,1,-176.072021484375
111140772,0,0,0,0,1,-194.82257080078125
111542330,0,0,0,0,1,-182.58206176757812
111943943,0,0,0,0,1,-156.9903564453125
112345523,0,0,0,0,1,-202.40472412109375
112747081,0,0,0,0,1,-206.62939453125
113148679,0,0,0,0,1,-167.0909423828125
113550295,0,0,0,0,1,-195.66363525390625
113951901,0,0,0,0,1,-190.11769104003906
114353521,0,0,0,0,1,-191.62966918945312
114755122,0,0,0,0,1,-170.08042907714844
115156720,0,0,0,0,1,-178.90724182128906
115558320,0,0,0,0,1,-201.89837646484375
115959889,0,0,0,0,1,-213.7470703125
116361482,0,0,0,0,1,-194.1499786376953
116763096,0,0,0,0,1,-194.65440368652344
117164703,0,0,0,0,1,-204.93846130371094
117566258,0,0,0,0,1,-180.40982055664062
117967855,0,0,0,0,1,-187.77122497558594
118369468,0,0,0,0,1,-185.2587127685547
118771068,0,0,0,0,1,-200.38003540039062
119172660,0,0,0,0,1,-178.23977661132812
119574250,0,0,0,0,1,-142.00726318359375
119975835,0,0,0,0,1,-191.2938690185547
120377466,0,0,0,0,1,-190.79026794433594
120779062,0,0,0,0,1,-199.8741912841797
121180649,0,0,0,0,1,-200.38003540039062
121582242,0,0,0,0,1,-187.26849365234375
121983841,0,0,0,0,1,-187.10092163085938
122385413,0,0,0,0,1,-208.15248107910156
122787010,0,0,0,0,1,-231.99777221679688
123188601,0,0,0,0,1,-201.22341918945312
123590229,0,0,0,0,1,-183.9199676513672
123991831,0,0,0,0,1,-172.90768432617188
124393423,0,0,0,0,1,-148.08726501464844
