timestamp (us),measLate,skippedBeat,drNoTrigger,checksumError,measInvalid,probeTemp (degC),ambientTemp (degC)
581875028,0,0,0,0,1,-390.75,17.5625
581952182,0,0,0,0,1,-388.75,17.5625
582022234,0,0,0,0,1,-390.75,17.5625
582064198,0,0,0,0,1,-390.75,17.625
582099100,0,0,0,0,0,-73.0,17.625
582141038,0,0,0,0,0,-73.0,17.375
582169033,0,0,0,0,0,15.0,17.375
582652037,0,0,0,0,0,15.0,17.5625
582687970,0,0,0,0,1,-395.25,17.5625
582764135,0,0,0,0,1,-387.0,17.5625
582834118,0,0,0,0,1,-390.0,17.5625
582876072,0,0,0,0,1,-390.0,17.375
582911059,0,0,0,0,0,15.0,17.375
583023042,0,0,0,0,0,15.0,17.3125
583093037,0,0,0,0,0,15.0,17.375
583170308,0,0,0,0,0,15.0,17.4375
583205172,0,0,0,0,0,15.25,17.4375
583240229,0,0,0,0,0,15.25,17.375
583352118,0,0,0,0,0,15.0,17.375
583464216,0,0,0,0,0,15.0,17.4375
583499214,0,0,0,0,0,15.25,17.4375
583611165,0,0,0,0,0,15.25,17.375
583646054,0,0,0,0,1,-347.25,17.375
583681051,0,0,0,0,1,-347.25,17.625
583716143,0,0,0,0,1,-374.25,17.625
583793088,0,0,0,0,1,-373.75,17.625
583863047,0,0,0,0,0,-191.25,17.625
583905185,0,0,0,0,0,-191.25,17.375
583940272,0,0,0,0,0,15.0,17.375
584122071,0,0,0,0,0,15.0,17.4375
584157062,0,0,0,0,0,15.25,17.4375
584199034,0,0,0,0,0,15.25,17.375
584234244,0,0,0,0,0,15.0,17.375
584346082,0,0,0,0,0,15.0,17.3125
584423012,0,0,0,0,0,15.0,17.375
584451062,0,0,0,0,0,15.25,17.375
584493068,0,0,0,0,0,15.25,17.4375
584570076,0,0,0,0,0,15.25,17.375
584598042,0,0,0,0,0,15.0,17.375
584640241,0,0,0,0,0,15.0,17.625
584675262,0,0,0,0,1,-375.5,17.625
584745166,0,0,0,0,1,-382.25,17.625
584822080,0,0,0,0,1,-383.25,17.625
584864049,0,0,0,0,1,-383.25,17.5
584892174,0,0,0,0,0,15.25,17.5
584934039,0,0,0,0,0,15.25,17.375
584969044,0,0,0,0,0,15.0,17.375
585081197,0,0,0,0,0,15.0,17.3125
585158126,0,0,0,0,0,15.0,17.375
585634127,0,0,0,0,0,-193.0,17.375
585669063,0,0,0,0,0,-193.0,17.625
585704049,0,0,0,0,1,-377.75,17.625
585781043,0,0,0,0,1,-379.75,17.625
585816276,0,0,0,0,1,-379.75,17.5625
585851086,0,0,0,0,1,-320.25,17.5625
585893194,0,0,0,0,1,-320.25,17.375
585928042,0,0,0,0,0,15.0,17.375
585963153,0,0,0,0,0,15.0,17.4375
586040109,0,0,0,0,0,15.0,17.375
586110070,0,0,0,0,0,15.0,17.3125
586187846,0,0,0,0,0,15.0,17.375
586257207,0,0,0,0,0,15.0,17.4375
586334279,0,0,0,0,0,15.0,17.375
586481077,0,0,0,0,0,15.0,17.4375
586558032,0,0,0,0,0,15.0,17.375
586628031,0,0,0,0,0,15.0,17.5
586663211,0,0,0,0,1,-387.0,17.5
586705149,0,0,0,0,1,-387.0,17.5625
586733089,0,0,0,0,1,-389.0,17.5625
586810240,0,0,0,0,1,-394.0,17.5625
586880042,0,0,0,0,1,-398.0,17.5625
586922033,0,0,0,0,1,-398.0,17.625
586957047,0,0,0,0,1,-395.25,17.625
587027953,0,0,0,0,1,-393.25,17.625
587069179,0,0,0,0,1,-393.25,17.5625
587104297,0,0,0,0,0,-8.0,17.5625
587146131,0,0,0,0,0,-8.0,17.375
587181030,0,0,0,0,0,15.0,17.375
587293021,0,0,0,0,0,15.0,17.4375
587328097,0,0,0,0,0,15.25,17.4375
587363053,0,0,0,0,0,15.25,17.375
587398324,0,0,0,0,0,15.0,17.375
587622043,0,0,0,0,0,-50.75,17.375
587657055,0,0,0,0,0,-50.75,17.625
587692098,0,0,0,0,1,-390.75,17.625
587734025,0,0,0,0,1,-390.75,17.5625
587769040,0,0,0,0,1,-394.0,17.5625
587804233,0,0,0,0,1,-394.0,17.625
587839041,0,0,0,0,1,-408.75,17.625
587881204,0,0,0,0,1,-408.75,17.4375
587916097,0,0,0,0,0,15.0,17.4375
587951172,0,0,0,0,0,15.0,17.375
588175075,0,0,0,0,0,15.0,17.4375
588210033,0,0,0,0,0,15.25,17.4375
588245208,0,0,0,0,0,15.25,17.375
588280173,0,0,0,0,0,15.0,17.375
588546029,0,0,0,0,0,15.0,17.4375
588651166,0,0,0,0,1,-394.25,17.4375
588693159,0,0,0,0,1,-394.25,17.5625
588721238,0,0,0,0,1,-398.25,17.5625
588763240,0,0,0,0,1,-398.25,17.6875
588798121,0,0,0,0,1,-399.25,17.6875
588840075,0,0,0,0,1,-399.25,17.5625
588868130,0,0,0,0,0,-97.5,17.5625
588910070,0,0,0,0,0,-97.5,17.375
588945080,0,0,0,0,0,15.0,17.375
589281038,0,0,0,0,0,15.0,17.4375
589316042,0,0,0,0,0,15.25,17.4375
589351051,0,0,0,0,0,15.25,17.3125
589386230,0,0,0,0,0,15.0,17.3125
589428049,0,0,0,0,0,15.0,17.4375
589498079,0,0,0,0,0,15.0,17.375
589645011,0,0,0,0,0,15.0,17.625
589680109,0,0,0,0,1,-395.25,17.625
589757047,0,0,0,0,1,-391.0,17.625
589827885,0,0,0,0,1,-385.25,17.625
589869010,0,0,0,0,1,-385.25,17.4375
589904086,0,0,0,0,0,15.0,17.4375
589939036,0,0,0,0,0,15.0,17.375
590527940,0,0,0,0,0,15.0,17.4375
590639175,0,0,0,0,1,-281.25,17.4375
590674187,0,0,0,0,1,-281.25,17.625
590709152,0,0,0,0,1,-387.25,17.625
590751033,0,0,0,0,1,-387.25,17.5625
590786110,0,0,0,0,1,-394.75,17.5625
590856060,0,0,0,0,0,-255.75,17.5625
590898044,0,0,0,0,0,-255.75,17.375
590933035,0,0,0,0,0,15.0,17.375
590975012,0,0,0,0,0,15.0,17.4375
591122230,0,0,0,0,0,15.0,17.375
591192139,0,0,0,0,0,15.0,17.4375
591227843,0,0,0,0,0,15.25,17.4375
591269094,0,0,0,0,0,15.25,17.375
591297050,0,0,0,0,0,15.0,17.375
591339020,0,0,0,0,0,15.0,17.4375
591374265,0,0,0,0,0,15.25,17.4375
591451044,0,0,0,0,0,15.0,17.4375
591521079,0,0,0,0,0,15.25,17.4375
591563101,0,0,0,0,0,15.25,17.375
591598066,0,0,0,0,0,15.0,17.375
591633078,0,0,0,0,0,15.0,17.5625
591668036,0,0,0,0,1,-380.75,17.5625
591710072,0,0,0,0,1,-380.75,17.625
591745127,0,0,0,0,1,-384.75,17.625
591815070,0,0,0,0,1,-385.0,17.625
591857202,0,0,0,0,1,-385.0,17.5625
591892245,0,0,0,0,1,-378.0,17.5625
591962087,0,0,0,0,1,-372.5,17.5625
592004147,0,0,0,0,1,-372.5,17.625
592039076,0,0,0,0,1,-369.25,17.625
592109037,0,0,0,0,0,15.5,17.625
592151041,0,0,0,0,0,15.5,17.375
592186213,0,0,0,0,0,15.25,17.375
592256106,0,0,0,0,0,15.0,17.375
592515019,0,0,0,0,0,15.0,17.4375
592550329,0,0,0,0,0,15.25,17.4375
592627890,0,0,0,0,0,-126.75,17.4375
592662020,0,0,0,0,0,-126.75,17.625
592697147,0,0,0,0,1,-384.5,17.625
592774177,0,0,0,0,1,-382.5,17.625
592844048,0,0,0,0,1,-386.5,17.625
592886035,0,0,0,0,1,-386.5,17.4375
592921048,0,0,0,0,0,15.25,17.4375
592963068,0,0,0,0,0,15.25,17.375
593068244,0,0,0,0,0,15.0,17.375
593110252,0,0,0,0,0,15.0,17.4375
593138035,0,0,0,0,0,15.25,17.4375
593180056,0,0,0,0,0,15.25,17.375
593215019,0,0,0,0,0,15.0,17.375
593404259,0,0,0,0,0,15.0,17.4375
593474040,0,0,0,0,0,15.0,17.375
593579105,0,0,0,0,0,15.25,17.375
593621033,0,0,0,0,0,15.25,17.4375
593656062,0,0,0,0,1,-390.5,17.4375
593698011,0,0,0,0,1,-390.5,17.5625
593733036,0,0,0,0,1,-391.0,17.5625
593803334,0,0,0,0,1,-385.25,17.5625
593845235,0,0,0,0,1,-385.25,17.625
593880155,0,0,0,0,0,-12.0,17.625
593915309,0,0,0,0,0,-12.0,17.375
593950202,0,0,0,0,0,15.0,17.375
593992161,0,0,0,0,0,15.0,17.4375
594174011,0,0,0,0,0,15.25,17.4375
594244073,0,0,0,0,0,15.0,17.4375
594321111,0,0,0,0,0,15.25,17.4375
594356038,0,0,0,0,0,15.25,17.375
594503049,0,0,0,0,0,15.25,17.4375
594615127,0,0,0,0,0,15.0,17.4375
594650031,0,0,0,0,0,15.0,17.6875
594685200,0,0,0,0,1,-393.25,17.6875
594727851,0,0,0,0,1,-393.25,17.625
594762033,0,0,0,0,1,-386.25,17.625
594832083,0,0,0,0,1,-388.0,17.625
594874042,0,0,0,0,1,-388.0,17.375
594909034,0,0,0,0,0,15.0,17.375
595168205,0,0,0,0,0,15.0,17.4375
595273043,0,0,0,0,0,15.25,17.4375
595420185,0,0,0,0,0,15.0,17.4375
595644077,0,0,0,0,1,-354.5,17.4375
595686041,0,0,0,0,1,-354.5,17.6875
595714041,0,0,0,0,1,-394.0,17.6875
595791228,0,0,0,0,1,-389.75,17.6875
595868038,0,0,0,0,0,-211.5,17.6875
595903076,0,0,0,0,0,-211.5,17.375
595938092,0,0,0,0,0,15.0,17.375
595980028,0,0,0,0,0,15.0,17.4375
596085030,0,0,0,0,0,15.25,17.4375
596162021,0,0,0,0,0,15.0,17.4375
596232155,0,0,0,0,0,15.25,17.4375
