measSkippedBeat, skippedBeat, drNoTrigger, checksumError, timestep (us), temperature (degC)
0, 0, 0, 0, 49656116, 3.037500e+01
0, 0, 0, 0, 49682087, 3.037500e+01
0, 0, 0, 0, 49708009, 3.037500e+01
0, 0, 0, 0, 49733993, 3.037500e+01
0, 0, 0, 0, 49759972, 3.037500e+01
0, 0, 0, 0, 49785908, 3.037500e+01
0, 0, 0, 0, 49811961, 3.037500e+01
0, 0, 0, 0, 49837832, 3.037500e+01
0, 0, 0, 0, 49863857, 3.037500e+01
0, 0, 0, 0, 49889768, 3.037500e+01
0, 0, 0, 0, 49915755, 3.040625e+01
0, 0, 0, 0, 49941689, 3.037500e+01
0, 0, 0, 0, 49967712, 3.037500e+01
0, 0, 0, 0, 49993629, 3.037500e+01
0, 0, 0, 0, 50019651, 3.037500e+01
0, 0, 0, 0, 50045562, 3.037500e+01
0, 0, 0, 0, 50071531, 3.037500e+01
0, 0, 0, 0, 50097484, 3.037500e+01
0, 0, 0, 0, 50123476, 3.037500e+01
0, 0, 0, 0, 50149508, 3.037500e+01
0, 0, 0, 0, 50175392, 3.034375e+01
0, 0, 0, 0, 50201390, 3.037500e+01
0, 0, 0, 0, 50227318, 3.037500e+01
0, 0, 0, 0, 50253336, 3.037500e+01
0, 0, 0, 0, 50279247, 3.037500e+01
0, 0, 0, 0, 50305262, 3.037500e+01
0, 0, 0, 0, 50331341, 3.037500e+01
0, 0, 0, 0, 50357195, 3.040625e+01
0, 0, 0, 0, 50383170, 3.037500e+01
0, 0, 0, 0, 50409191, 3.037500e+01
0, 0, 0, 0, 50435104, 3.037500e+01
0, 0, 0, 0, 50461012, 3.037500e+01
0, 0, 0, 0, 50487043, 3.040625e+01
0, 0, 0, 0, 50512952, 3.037500e+01
0, 0, 0, 0, 50538974, 3.034375e+01
0, 0, 0, 0, 50564879, 3.037500e+01
0, 0, 0, 0, 50590914, 3.040625e+01
0, 0, 0, 0, 50616813, 3.037500e+01
0, 0, 0, 0, 50642785, 3.037500e+01
0, 0, 0, 0, 50668733, 3.037500e+01
0, 0, 0, 0, 50694702, 3.040625e+01
0, 0, 0, 0, 50720695, 3.040625e+01
0, 0, 0, 0, 50746626, 3.037500e+01
0, 0, 0, 0, 50772648, 3.040625e+01
0, 0, 0, 0, 50798609, 3.040625e+01
0, 0, 0, 0, 50824621, 3.037500e+01
0, 0, 0, 0, 50850485, 3.037500e+01
0, 0, 0, 0, 50876525, 3.040625e+01
0, 0, 0, 0, 50902423, 3.037500e+01
0, 0, 0, 0, 50928400, 3.037500e+01
0, 0, 0, 0, 50954349, 3.040625e+01
0, 0, 0, 0, 50980346, 3.040625e+01
0, 0, 0, 0, 51006333, 3.037500e+01
0, 0, 0, 0, 51032242, 3.037500e+01
0, 0, 0, 0, 51058259, 3.040625e+01
0, 0, 1, 0, 51084186, 3.040625e+01
0, 0, 0, 0, 51109667, 3.037500e+01
0, 0, 0, 0, 51135600, 3.040625e+01
0, 0, 0, 0, 51161564, 3.040625e+01
0, 0, 0, 0, 51187609, 3.037500e+01
0, 0, 0, 0, 51213493, 3.037500e+01
0, 0, 1, 0, 51239514, 3.037500e+01
0, 0, 1, 0, 51265077, 3.037500e+01
0, 0, 0, 0, 51290415, 3.037500e+01
0, 0, 0, 0, 51316412, 3.037500e+01
0, 0, 0, 0, 51342322, 3.040625e+01
0, 0, 0, 0, 51368346, 3.040625e+01
0, 0, 0, 0, 51394246, 3.040625e+01
0, 0, 0, 0, 51420267, 3.037500e+01
0, 0, 0, 0, 51446181, 3.040625e+01
0, 0, 0, 0, 51472144, 3.040625e+01
0, 0, 0, 0, 51498114, 3.037500e+01
0, 0, 0, 0, 51524076, 3.037500e+01
0, 0, 0, 0, 51550063, 3.037500e+01
0, 0, 0, 0, 51576005, 3.037500e+01
0, 0, 0, 0, 51602075, 3.037500e+01
0, 0, 0, 0, 51627936, 3.040625e+01
0, 0, 0, 0, 51653956, 3.037500e+01
0, 0, 0, 0, 51679873, 3.037500e+01
0, 0, 0, 0, 51705915, 3.040625e+01
0, 0, 0, 0, 51731802, 3.040625e+01
0, 0, 0, 0, 51757795, 3.040625e+01
0, 0, 0, 0, 51783729, 3.040625e+01
0, 0, 0, 0, 51809718, 3.040625e+01
0, 0, 0, 0, 51835695, 3.040625e+01
0, 0, 0, 0, 51861626, 3.040625e+01
0, 0, 0, 0, 51887650, 3.037500e+01
0, 0, 0, 0, 51913595, 3.037500e+01
0, 0, 0, 0, 51939669, 3.040625e+01
0, 0, 0, 0, 51965522, 3.040625e+01
0, 0, 0, 0, 51991491, 3.037500e+01
0, 0, 0, 0, 52017612, 3.037500e+01
0, 0, 0, 0, 52043467, 3.040625e+01
0, 0, 0, 0, 52069350, 3.037500e+01
0, 0, 0, 0, 52095336, 3.037500e+01
0, 0, 0, 0, 52121473, 3.040625e+01
0, 0, 0, 0, 52147330, 3.037500e+01
0, 0, 0, 0, 52173250, 3.040625e+01
0, 0, 0, 0, 52199169, 3.040625e+01
0, 0, 0, 0, 52225188, 3.040625e+01
0, 0, 0, 0, 52251100, 3.040625e+01
0, 0, 0, 0, 52277107, 3.040625e+01
0, 0, 0, 0, 52303014, 3.040625e+01
0, 0, 0, 0, 52329030, 3.040625e+01
0, 0, 0, 0, 52355116, 3.040625e+01
0, 0, 0, 0, 52380978, 3.040625e+01
0, 0, 0, 0, 52406944, 3.040625e+01
0, 0, 0, 0, 52432855, 3.040625e+01
0, 0, 0, 0, 52458866, 3.037500e+01
0, 0, 1, 0, 52484875, 3.040625e+01
0, 0, 0, 0, 52510280, 3.037500e+01
0, 0, 0, 0, 52536314, 3.037500e+01
0, 0, 0, 0, 52562178, 3.040625e+01
0, 0, 0, 0, 52588201, 3.040625e+01
0, 0, 0, 0, 52614094, 3.040625e+01
0, 0, 0, 0, 52640128, 3.040625e+01
0, 0, 0, 0, 52666072, 3.040625e+01
0, 0, 0, 0, 52692053, 3.040625e+01
0, 0, 0, 0, 52717957, 3.040625e+01
0, 0, 0, 0, 52743985, 3.040625e+01
0, 0, 0, 0, 52769880, 3.040625e+01
0, 0, 0, 0, 52795919, 3.040625e+01
0, 0, 0, 0, 52821822, 3.040625e+01
0, 0, 0, 0, 52847805, 3.040625e+01
0, 0, 0, 0, 52873818, 3.040625e+01
0, 0, 0, 0, 52899716, 3.040625e+01
0, 0, 0, 0, 52925730, 3.040625e+01
0, 0, 0, 0, 52951651, 3.040625e+01
0, 0, 0, 0, 52977667, 3.040625e+01
0, 0, 0, 0, 53003578, 3.040625e+01
0, 0, 0, 0, 53029620, 3.040625e+01
0, 0, 0, 0, 53055502, 3.040625e+01
0, 0, 0, 0, 53081489, 3.040625e+01
0, 0, 0, 0, 53107467, 3.037500e+01
0, 0, 0, 0, 53133400, 3.040625e+01
0, 0, 0, 0, 53159351, 3.040625e+01
0, 0, 0, 0, 53185346, 3.040625e+01
0, 0, 0, 0, 53211386, 3.040625e+01
0, 0, 0, 0, 53237260, 3.040625e+01
0, 0, 0, 0, 53263258, 3.040625e+01
0, 0, 0, 0, 53289246, 3.040625e+01
0, 0, 0, 0, 53315197, 3.040625e+01
0, 0, 0, 0, 53341118, 3.040625e+01
0, 0, 0, 0, 53367159, 3.040625e+01
0, 0, 0, 0, 53393049, 3.040625e+01
0, 0, 0, 0, 53419034, 3.040625e+01
0, 0, 0, 0, 53444974, 3.040625e+01
0, 0, 0, 0, 53470967, 3.040625e+01
0, 0, 0, 0, 53496964, 3.040625e+01
0, 0, 0, 0, 53522874, 3.040625e+01
0, 0, 0, 0, 53548894, 3.040625e+01
0, 0, 0, 0, 53574853, 3.040625e+01
0, 0, 0, 0, 53600786, 3.043750e+01
0, 0, 0, 0, 53626731, 3.040625e+01
